sg_uf,nm_municipio,nr_candidato,nm_urna_candidato,sg_partido,ds_sit_totalizacao,sg_ue,sq_candidato,nm_tipo_destinacao_votos,nm_regiao,pc_votos_validos,qt_votos_nom_validos,qt_votos_concorrentes
AL,PIAÇABUÇU,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2533,2109,8327
AL,PILAR,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.5434,9456,17403
AL,PILAR,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.4566,7947,17403
AL,PINDOBA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7105,1200,1689
AL,PINDOBA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2895,489,1689
AL,PIRANHAS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.9102,10556,11598
AL,PIRANHAS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.0898,1042,11598
AL,PORTO CALVO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.7069,8977,12699
AL,PORTO CALVO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.2931,3722,12699
AL,PORTO DE PEDRAS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.5671,2389,4213
AL,PORTO DE PEDRAS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.4329,1824,4213
AL,PORTO REAL DO COLÉGIO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8148,8313,10202
AL,PORTO REAL DO COLÉGIO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1852,1889,10202
AL,POÇO DAS TRINCHEIRAS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8756,5870,6704
AL,POÇO DAS TRINCHEIRAS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1244,834,6704
AL,PÃO DE AÇÚCAR,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7966,9440,11851
AL,PÃO DE AÇÚCAR,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2034,2411,11851
AL,QUEBRANGULO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7494,4985,6652
AL,QUEBRANGULO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2506,1667,6652
AL,RIO LARGO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6281,23450,37334
AL,RIO LARGO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3719,13884,37334
AL,ROTEIRO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6243,1785,2859
AL,ROTEIRO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3757,1074,2859
